aaberg - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abandoning - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abandonment - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abandonments - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abandons - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abanto - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abarca - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abare - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abascal - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abash - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abashed - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abasia - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abate - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abated - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abatement - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abatements - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abates - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abating - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abattoir - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abba - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abbado - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abbas - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abbasi - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abbate - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abbatiello - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abbe - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abbenhaus - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abbett - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abbeville - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abbey - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abbie - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abbitt - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abbot - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abbotstown - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abbott - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abbottstown - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abboud - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abbreviate - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abbreviated - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abbreviates - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abbreviating - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abbreviation - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abbreviations - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abbruzzese - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abbs - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abby - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abc - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abco - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abcotek - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abcs - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abd - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abdalla - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abdallah - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abdel - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abdella - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abdicate - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abdicated - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abdicates - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abdicating - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abdication - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abdnor - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abdo - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abdollah - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abdomen - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abdominal - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abduct - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abducted - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abductee - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abductees - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abducting - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abduction - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abductions - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abductor - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abductors - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abducts - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abdul - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abdulaziz - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abdulla - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abdullah - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abe - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abed - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abedi - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abee - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abel - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abela - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abelard - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abele - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abeles - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abell - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abella - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abeln - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abelow - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abels - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abelson - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abend - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abendroth - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aber - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abercrombie - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aberdeen - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aberford - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aberg - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aberle - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abermin - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abernathy - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abernethy - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aberrant - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aberration - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aberrational - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aberrations - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abert - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abet - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abetted - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abetting - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abex - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abeyance - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abeyta - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abhor - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abhorred - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abhorrence - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abhorrent - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abhors - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abiam - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abid - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abide - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abided - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abides - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abiding - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abidjan - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abie - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abigail - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abila - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abilene - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abilities - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
ability - The skill or power to do something.
abimael - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abimaels - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abingdon - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abington - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abio - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abiola - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abiomed - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abiquiu - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abitibi - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abitz - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abject - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abkhazia - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abkhazian - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abkhazians - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
ablate - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
ablation - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
ablaze - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
able - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abled - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abler - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
ables - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
ablest - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abloom - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
ablution - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
ablutions - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
ably - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abnegation - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abner - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abney - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abnormal - Not typical or usual; irregular.
abnormalities - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abnormality - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abnormally - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abo - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aboard - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abode - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abohalima - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abolish - To officially end or stop something.
abolished - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abolishes - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abolishing - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abolition - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abolitionism - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abolitionist - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abolitionists - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abominable - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abomination - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abominations - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abood - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aboodi - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abor - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aboriginal - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aborigine - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aborigines - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aborn - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abort - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aborted - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abortifacient - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abortifacients - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aborting - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abortion - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abortionist - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abortionists - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abortions - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abortive - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aborts - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abott - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abou - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aboud - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abouhalima - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abound - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abounded - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abounding - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abounds - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
about - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
above - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aboveboard - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abplanalp - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abra - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abracadabra - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abrade - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abraded - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abrades - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abraham - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abrahamian - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abrahams - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abrahamsen - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abrahamson - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abram - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abramczyk - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abramo - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abramovitz - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abramowicz - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abramowitz - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abrams - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abramson - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abrasion - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abrasions - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abrasive - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abrasives - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abraxa - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abraxas - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abreast - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abrego - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abreu - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abridge - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abridged - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abridgement - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abridges - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abridging - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abril - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abroad - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abrogate - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abrogated - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abrogating - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abrogation - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abrol - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abron - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abrupt - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abruptly - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abruptness - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abrutyn - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abruzzese - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abruzzo - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abs - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absalom - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absaraka - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abscam - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abscess - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abscond - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absconded - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absconding - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absconds - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absecon - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absence - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absences - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absent - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absentee - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absenteeism - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absentees - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absentia - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absher - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abshier - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abshire - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absinthe - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abso - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absolom - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absolut - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absolute - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absolutely - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absoluteness - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absolutes - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absolution - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absolutism - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absolutist - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absolve - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absolved - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absolves - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absolving - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absorb - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absorbed - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absorbency - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absorbent - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absorber - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absorbers - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absorbing - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absorbs - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absorption - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abstain - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abstained - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abstaining - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abstention - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abstentions - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abstinence - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abstinent - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abston - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abstract - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abstracted - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abstraction - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abstractions - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abstracts - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abstruse - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absurd - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absurdist - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absurdities - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absurdity - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
absurdly - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abt - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abts - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abu - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abudrahm - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abuellah - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abuladze - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abundance - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abundant - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abundantly - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aburto - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abuse - To misuse or treat badly.
abused - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abuser - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abusers - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abuses - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abusing - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abusive - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abut - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abuts - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
